PMID ,PERSONS
PMID , 
15890068," Alexander V Loguinov , "
15890080," PICASso , Chad Myers , Grant Wallace , Botstein , "
15890082," J. Mol , Shankar Subramaniam , "
15892890," Dr. Korbinian Strimmer , "
15892887, 
15904487, 
15904488," Cristine Brower , "
15904489, 
15943884, 
15910684," C. Acquisti , Dehner Gartencenter , "
15910681," Jo Vandesompele , Katleen De Preter , Filip Pattyn , G. , G. , G. , "
15960821, 
15960822, 
15960823, 
15960824, 
15960825," Seth Kulick , Mark Liberman , Mark Mandel , Andy Schein , Scott Winters , Pete White , Andrew McCallum , "
15960826, 
15960827, 
15960828," M. Krallinger , Lynette Hirschman , Angel Carro , "
15960829," Lynette Hirschman , Christian Blaschke , Alexander Yeh , Mark Colismo , "
15960830, 
15960831, 
15960832," W. John Wilbur , Lorraine Tanabe , "
15960833," Andy Fulmer , Jun Xu , "
15960834, 
15960835, 
15960836," Christine Chichester , Christian Blaschke , Dietrich Rebholz-Schuhmann , Karin Verspoor , Evelyn Camon , "
15960837," Mark , "
15960838," Thorsten Brants , "
15960839," Steve Clark , James Curran , James , Dan Klein , Lynette Hirschman , "
15960840," Mark Liberman , Andy Schein , Pete White , Scott Winters , Lorraine Tanabe , Andrew McCallum , "
15960841," Ng See Kiong , Ms. Zhang Zhuo , "
15960842," Brill , "
15960843, 
15910690," K. Kemphues , J. Ahringer , M. Urai , Y. Kitamura , H. Amano , K. Oka , A. Kimura , K. Kyoda , M. Morohashi , "
15918906," Dr. Beena Pillai , Dr. Rakesh Sharma , Dr. Neeraj Pandey , Dr. Mitali Mukerji , "
15921519, 
15921507," Dr. Hongying Jiang , "
15921534, 
15921531," Stella Lee , "
15865625," Enrico Curiotto , "
15924626," J.F. Abril , O. Gonzalez , C. Rossier , M. Ruedi , C. Ucla , Lejeune , Niels Yde , Eyras , Estudis Avan , Guigo , "
15927070," John Sidney , "
15927052," R.A. Sturm , W. Chen , Dr S.M. Grimmond , "
15869708," Dr. Peiyu Zeng , Dr. Walter Gassman , Dr. Joe Polacco , Tao Tao , "
15877815," Higgins , Zhang , Zhao , Chi , Higgins , Zhang , Zhao , Chi , Higgins , Zhang , Zhao , "
16288652, 
16293191, 
16297240," Bradley Coe , Spencer Watson , Ron J DeLeeuw , "
16297241," Erin O'Shea , I.H. H. L. , Sandler , H. L. , "
16297243," Ying Bai , Sonsy Zachariah , Hui Sun , Hui Zhao , "
16259642," Huang , Kun-Mao Chao , Ting Chen , Grant , "
16305745," Chen , "
16305750," Heath Ogden , "
16305751," Winona Barker , Hongzhan Huang , "
16316462, 
16316461," Dr. Kenji Mizuguchi , Golan Yona , "
16318635," Andrew Worth , Martin Blythe , "
16318626," C. Somerville , P. Buist , M. Pidkowich , I. Heilmann , Dr. J. Setlow , "
16318636," Florian Markowetz , Colin Gillespie , Stale Nygard , Andrew Golightly , Malcolm Farrow , "
16318631, 
16269077," Helen Parkinson , Tim Rayner , Lucy Bridges , Georgina Moulton , Afsaneh Maleki , Irena Spasic , Andy Tseng , Ben Routley , Jill Wishart , Nianshu Zhang , Juan Castrillo , Studel Gato , Justin Warne , E. Jane Fraser , Andrew Cossins , Colin Smith , Graham Hotchkiss , Vassilis Mersinias , Emma Laing , Keith Chater , Sofoklis Lekkas , Eriko Takano , Sandor Biro , Aleksandra Smulczyk , Govind Chandra , Alan Ward , Nickolas Allenby , Dan Swan , Peter Olive , Kim , Matthew Hegarty , Mike Allen , Cas Kramer , Thierry Bailhache , Jonathan Reeves , Darius Armstrong-James , Bregje Wertheim , "
16271137, 
16274476," Vassily Ramensky , Dmitry Malko , "
16274478," Dr. Mildred Scheel Stiftung , "
16280078," Angela Clerk , Tim Kemp , Tim Aitman , Chris Higgins , Helen Parkinson , Anna Farne , Tim Rayner , Helen Figueira , Stephanie Dillman , Kumaran Mandek , Philippe Rocca-Serra , "
16280084," Edward Chen , William Noble , Neil Segal , "
16283923, 
16283924," Pasan Fernando , Lawrence Puente , Lukasz Salwinski , "
16216129," J. Bedell , K. Schubert , "
16221298," Monnier , "
16221304, 
16221309," Dr. Rohan Teasdale , Dr. Michael Gagen , "
16221310," Vivek Gopalan , "
16223442," Knut , Alice Wallenberg Foundation , "
16225667," Graduiertenkolleg , "
16225674," Thomas Bataillon , "
16225676," Bob MacCallum , Wallner , "
16225682," L. Eichacker , "
16225688," Dr. Barbara Selisko , Dr. Sonia Longhi , Dr Yana Khalina , Jean-Marie Bourhis , "
16225690," John Attewell , "
16225696," Fei Lu , Jingjing Li , "
16232312," Ming-Che Shih , Geoff Morris , Jake Byrnes , Josh Rest , Chang , "
16232321, 
16236170, 
16242044, 
16253142, 
16202126," Ivo Hofacker , Peter Clote , "
16202129," Dr. Xia Yang , Mischa Reinhardt , Darrell Ricke , "
16202130," Eugene Koonin , Peer Bork , Russell Greiner , David Lipman , Steven Salzberg , Kevin Wiehe , Jennifer Beane , Elisabeth George , David Sternlichit , Paul Strominger , Yulei Fu , S.K. , "
16207377," Laboratorio Italiano , Cancro , Gianluca Delia Vedova , David Horner , Giulio Pavesi , Gabriele Ravanelli , Perl , "
16156887," Sebastian Oehm , Morris Michael , Marco R , "
16156896," David Bird , "
16159393," de Investigaciones Cient , Agencia Nacional de Promoci , Fundaci , Antorchas , "
16162296, 
16171521," Becquet , Audrey Herr , Tiphaine Martin , Fran , Morl , Aldo Deandrea , Fran , Morl , Edmund Derrington , "
16171527, 
16171528," Raffaello Galli , Christoph Dieterich , Sarah Teichmann , "
16171529," Nick Goldman , "
16137321, 
16219110, 
16176576," R. Elkon , A. Tanay , R. Sharan , "
16176585," Anna Amtmann , "
16185360, 
16188029," Paolo Missier , "
16188037," Simprot , Shalini Veerassamy , Thomas Lui , Zhuozhi Wang , Ginny Li , Alex Kondrashov , "
16191190," M. Swat , M. Futschik , "
16191193," Rolf Boesten , Martien Caspers , Nicole van Luijk , Karin Overkamp , "
16191195, 
16194281," Cortajarena , T. Kajander , S. Mochrie , J. Venkatraman , Wilson , M. Gerstein , L.R. , "
16144548," Joan Gu , Dr. Yutaka Suzuki , Bill Majoros , "
16146575," Geo Pertea , John Quackenbush , Brian Haas , "
16146579, 
16153293," Alex Mira , Boris A. Legault , "
16153304, 
16606446," Dr. Andrea Richardson , Benoit Valin , Dr. Cristian , "
16606449," Nancy Gerits , Lise Bedringaas , Stein-Erik Gullaksen , "
16606460," Trey Ideker , Vineet Bafna , R.S. , "
16608515," Vidi , Y.M. Pinto , Rudy Duisters , Caroline van de Burg , "
16608522," S. Rash , W. Huang , A. Porter , "
16608523," Joanne Yeakley , Marina Bibikova , Dr. Jinhua Wang , Michael Wigler , Dustin Schones , Vladimir Jurukovski , "
16611354," Leanne Wardleworth , "
16611359," Scott M. Dudek , Marylyn Ritchie , Lance Hahn , Bill White , "
16613602," Gerard te Meerman , Anne de Jong , Paul Eilers , "
16613604," Mr. Steve Fellini , Ms. Susan Chacko , Mr. Antej Nuhanovic , "
16613608," Dr. Ulrich , "
16618368," A.K. Dunker , Z. Obradovic , Dr. Vladimir Uversky , Matthew Badura , "
16620382," Kristina Allen-Brady , Kristina Allen-Brady , Kim Nguyen , Michael Hoffman , Helaman Escobar , Michael Klein , John Elliot , "
16623936," Jonathan Flint , Tom Scerrie , Clive Brown , "
16623940," Peter Holmans , "
16623942," Martin Urban , Steve Thomas , Tully Yates , Jan Taubert , Jane Lomax , Wolfgang Paul Program , "
16623953," David Juan , Florencio Pazos , Luis Sanchez-Pulido , "
None, 
16626497, 
16630343," Tim Hughes , Tim Hughes , Quaid Morris , Nikolaos Mitsakakis , Adam Zagdanski , "
16630345," Chris Wallace , Shamil Sunyaev , Alberto Paccanaro , "
16630346," Gregory Grothaus , "
16630347," Michael Telgkamp , Daniel Fleischer , "
16630348," Xin Ying Qiu , Dr. Babru Samal , Cheryl Malone , Bryan Allen , Padmini Srinivasan , "
16638137," Ornit Elgad , "
16638152," Dr. Andrew Keller , Dr. Geir Skogerbo , Grant , "
16640774, 
16640788, 
16640789," Steven E. Brenner , Qi Meng , Erik Ellestad , Peter Madrid , Marc Anderson , Maya Schuldiner , "
16643644," Dr Richard M. Stallman , Jeff Bizzarro , Cecilia Angulo , Lionel Elie Mamane , Dr Mark Tracy , Philippe Garrigues , J.S. Sun , Mrs Jeanne Jordanov , "
16643648, 
16643657, 
16643658," John Hogenesch , Andrew Su , Anthony Philippakis , Mark Umbarger , John Hayden , Mike Berger , Federico De Masi , "
16643665," Dr. Koji Tsuda , "
16643669," A. Auch , "
16643672," Dr. Jyh-Yuan Yang , "
16643673," Huang , Yu-Jen Liang , "
16646969," Matthew Monroe , Alan L. Rockwood , Steve Van Orden , Ernst Schumacher , "
16584545," P.H. , Wetenschappelijk Onderzoek , S. Noguchi , J.M. Boer , R.X. de Menezes , "
16584550," Pedro Coelho , Drs. Armindo Salvador , Michael A. Savageau , Enric Herrero , Programa de Formaci , "
16584563," Amber Fedynak , Edward Glen , "
16584566, 
16584572," Peilin Jia , "
16594991," Ziheng Yang , "
16597327, 
16597336," A. Brazma , M. Kapushesky , R. Poehlmann , R. Gaisbauer , D. Flanders , B. Sick , K. Harshman , C. Niederhauser-Wiederkehr , L. Hermida , "
16597342," Raymond Cheong , Nilesh Dave , Naftali Kaminski , Gerard Nau , Raquel Norel , "
16600027," Steve Shaw , Emanuel Petricoin , Lance Liotta , "
16600045," Steven Jones , Erin Pleasance , Dr. Sheldon McKay , "
16600052," Eric Mjolsness , Ken McCue , "
16603075," Finley , "
16603083," Geeta Joshi-Tope , Imre Vastrik , Peter D'Eustachio , Christopher Griffin , "
16901352, 
16901353," Arthur Grossman , Devaki Bhaya , "
16904007," M. B. , "
16904011," Michael Brudno , Shyam Prabhakar , Casey Bergman , "
16907975," G. Stephanopoulos , L. O. Ingram , Rhonda DeCook , "
16907976," Rhonda Geoffrey , Pawjai Khampang , "
16907992, 
16911788," J. Kurths , F. Gibbons , "
16914048, 
16914055," John Stone , Michael Bach , Carl Woese , "
16914063, 
16916454," Arvid , Elisabeth Nilsson Foundation , "
16916457," Samudrala , Dr. Sridhar Hannenhalli , "
16916470," Dr. R. Guimer , Dr. L. A. N. Amaral , Dr. H.W. Ma , Dr. A.P. Zeng , Dr. J. Doyle , Dr. Y. Z. Chen , Science , "
16919171," Sebastiano Stramaglia , Laura Castellana , Paolo Valerio , "
16925821, 
16930469," Sven Rahmann , Alexander Kel , "
16934139," Mr. Charlie Lee , Patrick Ng , Guillaume Bourque , "
16934150," Marc S. Halfon , Choe , "
16939640, 
16939646," Dr. Tsviya Olender , "
16884529, 
16939655," Limsoon Wong , Chen , "
16942624, 
16945132," Poisson , Poisson , JASPAR , Staf , "
16945146," Joaqu , Dopazo , Jaime Huerta Cepas , Vasyl Pihur , Mourad Atlas , "
16887044," K. Koorikawa , "
16889662," Reinhard Guthke , Torsten Kroll , Andreas Beyer , Rafael A. Irizarry , James W. MacDonald , R. Guthke , "
16893465," Dr. Anthony Skjellum , "
16893466," Noah Fierer , Diana Nemergut , Kirk Harris , Ruth Ley , Sandra Smit , Elizabeth Costello , Kirk Harris , Josyanne Lamarche , Catherine Lozupone , Charlie Butcher Foundation , "
16899134," Martin Szugat , "
17217501, 
17217502, 
17217503, 
17217504, 
17217505, 
17217506, 
17217507," Dean , Youping Deng , "
17217508," Dean , Youping Deng , Sanjay Khadayate , "
17217509, 
17217510, 
17217511," Dr. Dong-Guk Shin , Dr. Jae-guon Nam , Dr. Yanlin Ye , "
17217512," Andrey Shlyakhtenko , Fuchun Huang , Elicia Lanham , "
17217513," T. Yamamoto , "
17217514," Giulio Pavesi , Graziano Pesole , D. Watson , A. Kraft , W. J. Zheng , "
17217515, 
17217516, 
17217517, 
17217518," Dean , Youping Deng , "
17217519," Dr. L. Harshman , "
17217520, 
17217521, 
17217522, 
17217523, 
17217524, 
17217525, 
17217526," Jing Xu , Chaokun Wang , George , "
17217527," Dr Xuejun Hu , Nick Pierce , "
17166258," Tsuyoshi Iwasaki , Gabor Bereczki , Masahiro Sugimoto , Yuji Kakazu , Takamasa Ishikawa , Yuki Ueno , "
17166289," Cheng , Joel Hahn , Arshad Khan , John Wiley , "
17169146," PEDRo , "
17173684, 
17173692," BYK , "
None, 
17254294, 
17254295, 
17254296," Shubhada Nagarkar , Janaki Ojha , "
17254297," Science , "
17254298, 
17254299," Dr. Chih Wei Hsu , Dr. Hsu , Dr. Sen Ling Tan , "
17254300, 
17254301," Nathan Baker , Alessandro Giuliani , Roger Beuerman , Suresh , "
17254302, 
17254303," Akhilesh Pandey , Dr. Pandey , Dr. Pandey , "
17254304," Aarti Giri , James A. Hill , Mei Yin Ho , Balamuragan Kumarasamy , Yang Li , Tina Eyre , Oliver Bezuidt , Cameron MacPherson , Vladimir Bajic , Vladimir Bajic , "
17254305, 
17254306, 
17254307, 
17254308," Melissa Davis , Nicholas Hamilton , "
17254309," Seng Hong Seah , Zhang Guanglan , Judice Koh , Olivo Miotto , Dr. Deborah McClellan , Grant , "
17254310, 
17254311," Jianlin Cheng , Piere Baldi , Philip Bourne , Dr Stella Veretnik , Bourne , "
17254312, 
17254313," Y.H. , Y.H. , "
17254314," Govt , "
17176458, 
17176465," Chris Jiggins , "
17176468," Dr. Jian Huang , "
17177995," Saikumar Karyala , Ahr , Danielle Halbleib , "
17137519, 
17137522," Mr Danny Chuon , "
17140431, 
17184519," Deutsche Forschungsgemeinschaft , Deutsche Krebshilfe , "
17184531," Peter J.T. Verheijen , "
17187668," P. Pfaffelhuber , C. Schl , Dehner Gartencenter , "
17187677," Alexander , "
17187691, 
17196102," Kornelia Gr , Dr. Erich Buchner , "
17147805," Wyatt Anderson , Jim Hamrick , Jessica Kissinger , Ron Pulliam , Ben Redelings , Paul Schliekelman , Jeff Thorne , John Wares , "
17147812," Louis Oliphant , Joseph Bockhorst , "
17147817," Dan Graur , "
16472402," Nikolay Spiridonov , "
16476165," Marisano James , "
16478540, 
16478545," Shane Zhang , Thomas Huber , "
16478547," Dr. Hong-Wu Ma , MarcioRosa da Silvafor , "
16480510, 
16480496," Nathan Edwards , Aaron Birkland , Golan Yona , "
16480524," Zhenjiang Ning , Hua Ye , Sheng Zhu , "
16483361, 
16483359," Alan Berger , David Johannsen , David Marchette , "
16483358, 
16503993," Dr. Sladek , "
16503995," Jesse Salisbury , Michael Brockman , Priyam Singh , Gary Churchill , Aaron Brown , Derry Roopenian , "
16503973, 
16503967, 
16503966, 
16503971," Dr. Audrey Player , "
16451725," Yakovlev , "
16504016," L.F. , Mr Rajith Aturaliya , "
16504045," Jane Law , Halina Loi , Jennifer Tom , Hajime Matsuzaki , Karen Fitch , "
16504070, 
16504059, 
16504085," Thiago M. Venancio , de Amparo , "
16504088," David Umbach , Mei Liu , Bhaskar Mandavalli , "
16504105," John Huelsenbeck , Fredrik Ronquist , Rasmus Nielsen , Paul Gardner , Andrea Betancourt , Kelly Dyer , John Huelsenbeck , Rasmus Nielsen , "
16504077," S. Chamberlin , J. Rest , K. Bullaughey , "
16504075," Geoffrey Gordon , "
16504092, 
16504116," Dorion Berg , "
16504125, 
16504139," Geoff McLachlan , Michael Gagen , "
16504159, 
16504173," Dr. Pratyaksha Wirapati , Dr. Matt Ritchie , Knut , Alice Wallenberg , "
16507094, 
16507099, 
16507110, 
16451737," Dr Jose Pe , Roland Nilsson , Dr Collins , "
16457708, 
16460560," Gert Vriend , "
16464256," Dr. Carlos O. Sorzano , "
16464251, 
16464248," B. Schraven , J. Gagneur , J. Behre , U.U. Haus , R. Weismantel , Annegret Wagler , R. Hemenway , "
16464253," Scott Kelley , Peter Salamon , Olga Pantos , "
16466569," Mark Steyvers , Alan Aronson , Chengxiang Zhai , "
16466568," Hemant Ishwaran , J. Sunil Rao , "
16466584, 
16466585," Michael Cooke , Colin Fletcher , Richard Glynne , John Hogenesch , Jeff Janes , "
16469098," Stefanie Dahms , Tom , Vina , Peter Meinicke , "
16469110," Carl Tryggers , Gustafsson , Komorowski , T.R. Hvidsten , "
16469097," Mark Schreiber , "
16403221, 
16403211," Kristian Rother , Columba , Stephan Lorenzen , "
16403228," S.E. Choe , J.F. Collins , M.S. Halfon , "
16401352," Ren Zhang , Drs Ju Wang , Ling-Ling Chen , Yun-Tao Dou , Jian-Hui Zhang , "
16403238," Dr. Ping Liang , "
16405736," Francisco Domingues , Andreas , "
16405735," Fisher , Liptak , Fisher , Liptak , Fisher , Liptak , "
16409628," Knut , Alice Wallenberg Foundation , "
16409635, 
16409644," Dr. Jiu-Zhou Wang , Hui Yu , "
16412220," Zhili , Jizhong Zhou , Pat Flaherty , "
16412240," Dr. Duoqian Miao , "
16417636," Fran , Genostar , Fran , Rechenmann , Jacques Nicolas , "
16417643," Dr Bjorn Hoyheim , Dr Brent Ewing , Staden Package , Phred , "
16417622," Grant , Grant , Grant , Grant , Larry Ruzzo , Roger Bumgarner , Rafael Irizarry , "
16420696, 
16420694," Lindsay Bremer , Jared Kohler , Timothy Kelly , Rong Mao , Nathaniel Miller , Elisha Roberson , Holly Hobbs , James Pettengill , Jay Leonard , Patrick Bender , Mohammed Hoque , David Sidransky , Johns Hopkins , N. Varg , "
16420705, 
16423290," Oliver Sander , Tobias Sing , Andreas Steffen , Andreas , Joachim B , "
16423300," Danielle Thierry-Mieg , Jean Thierry-Mieg , Laurent Trilling , Jean-Louis Roch , "
16423304," Gerth S. Brodal , "
16423281," Linda Giang , Jigui Shan , Tammy Qiu , Gary Smythers , Yanhui Hu , Joshua Labaer , Richard A. Lempicki , Wei Gao , Carl Schaefer , Robert Guzman , Norma Anderson , Esther Nie , David W. Russell , Alexander Pertsemlidis , Jeff Schageman , "
16423288," Clyde A. Hutchison , Sung-Hou Kim , Jack Snoeyink , Craig Falls , "
16426462," Dr. Tao Wang , Dr. Lei Feng , Dr. Shigeyuki Oba , "
16426464," Tim Peters , Alex Shaw , Justine Lau , Rainsy Tang , "
16430778," Michael Ederer , Rebecca Hemenway , Jon Lindquist , Bildung , "
16430768," Kenneth Williams , Shrikant Mane , Janet Hager , Kenneth Williams , A. Lamartiniere , Wang , "
16433928," Contributi Straordinari del D.D. , "
16433915," Dr. James Bardwell , Dr. Julia Bandow , Margarita Barvinok , Andrew Caird , "
16433931," U. S. A. , U. S. A. , Lai , Chang , C. Teng , I. Lin , R. O. C. , Chang , Tang , Chang , "
16436204," Dr Mellick , A.J. Brookes , J.A. Prince , Mellick , Brookes , "
16436213," Dr. Stephen TC Wong , Dr. James Chou , "
16438716, 
16438723," Mads Haugen , Cruciani , Winberg , Saywan Pasha , Harald Barsnes , "
16438721," B. Naudts , "
16438730," Mrs. Young , Dr. Robert Bachoo , Dr. Peter Park , "
16441875," R. Arkowitz , "
16441884," Svitlana Tyekucheva , Jianzhi Zhang , Eugene Koonin , Paula Goetting-Minesky , Svitlana Tyekucheva , "
16445868," Jason Ptacek , Michael Snyder , "
16448555, 
16448562," Dr. Milton Taylor , INGEN , "
16393334," Dr. Jens Lykke-Andersen , Dr. Ken Krauter , Mark Robida , Dr. Rick Osborne , "
16398927," Ian Kerr , Holger Gerhardt , "
16398926," J. M. Vaquerizas , A. Liaw , ms. A. S , "
16398931," Raymond Fernalld , "
16398937," Bonavides , Suzanne Paley , Irma Mart , "
16401337," Cofin ,  Fondo , "
16401345, 
16401341, 
16836741," Koningin Wilhelmina Fonds , "
16836750," Jim Woodgett , Kevin Brown , John Salama , "
16836757," John H. Morris , "
16836758," Daniele Dell , "
16836764, 
16839417," Troy Hawkins , David La , "
16839419, 
16842615, 
16842618," Anastasis Oulas , Alkiviadis Simeonidis , Babis Papamanthou , P. Poirazi , P. Pavlides , "
16842622," Dr. Eric Scheeff , Dr. Phil Bourne , "
16842628," Stephen Boyle , Nammalwar Sriranganathan , Gerhardt Schurig , Bruno Sobral , Dr. Raju Lathigra , Dr. Hans-Michael Muller , Dr. Lesley Colby , "
16848887," R.G. H. L. , Dr. Uday Kishore , "
16848902," Raija Lehto , Juho Lahti , "
16854218," M. Turmel , V. Goremykin , L. S. Vinh , A. von Haeseler , J. Dietzsch , "
16854231," S. Hwang , Perl , "
16857043," PRIN , Pallotti , "
16857053," Alex Lewin , Natalia Bochkina , Helen Causton , Marta Blangiardo , Peter Green , "
16857057," Radiodiagnosis , Radiodiagnosis , Radiodiagnosis , Pavel Hradecky , M.D. , "
16863590," James C. Coyle , "
16867190," Won Kim , Ilya Maizus , Marc Hadfield , "
16869963, 
16869977," Masaaki Matsuura , "
16872483," Natalie Thompson , Inge Jonassen , Patrick Dicker , Padraig Cunningham , "
16872496," David , "
16872497, 
16872501, 
16872502, 
16872519," Giorgio Valle , Alessandro Albiero , Lars Kunert , Francisco S. Domingues , "
16872538," Latifa Haider , Candice Johnson , Victoria Lee , Ryan Taylor , Michel Dumontier , "
16875499, 
16817966," Kevin Howe , Victor Solovyev , Mario Stanke , GAZE_est , Marijke van Baren , Michael Stevens , Samuel Gross , Randall Brown , "
16817968," Dr. Geoff Kansas , George Belka , Blaine Keister , Kate Dugan , Charles Bailey , Tien-chi Pan , Alexander Stoddard , Zhandong Liu , "
16817972," Freeland Lab , "
16817975," Dr. Young-Il Yeom , C. Cicala , R. Lempiki , "
16817977," Antonio J. Mart , Axel Facius , Thomas Rattei , Philip Wong , Christina Samel , Schrader , Christopher Rivera , Frank Hager , "
16820044," Eike Staub , John Barnett , Tommi Jaakkola , Trey Ideker , David Haussler , Wei Chen , Georg Gerber , John Barnett , Martin Vingron , David Haussler , "
16822306, 
16822321," Lyudmila Shagina , "
16824223," Ottavio Beretta , Marco Brandizi , Manuel Mayhaus , Filippo Petralia , Andrea Splendiani , Sekmed , "
16827924," Arnab Pain , "
16764735," T. Konishi , S. Nakamura , M. Abe , J. J. Rodrigue , "
16768797," C.L. Lu , Chiu , "
16772023," Christophe Schilling , Jochen Foster , "
16772025," H. Shateri Najafabadi , H. Goodarzi , A. Katanforoush , "
16774677, 
16774678, 
16774679," Linda Stenman , Alice Wallenberg Foundation , "
16774686, 
16776819, 
16776821, 
16776838, 
16780580," OBER , "
16780582," Patrik , Tomas Johansson , Sandra Pavey , Nicholas Hayward , Johan Vallon-Christersson , Lund , Knut , Alice Wallenberg Foundation , Alice Wallenberg Foundation , "
16780584, 
16780591, 
16784526," Thymidylate Synthase , TISs , "
16740163," James Priess , James Thomas , "
16790041," Juan Fernandez-Recio , Lesley Green , Burkhard Rost , Ian Sillitoe , "
16790046," Matthew Zapala , "
16790052," Dr. W. C. Barker , Dr. H. Huang , Dr. C. R. Vinayaka , Dr. S. Vasudevan , "
16790056," AQP_all , "
16790057, 
16792795, 
16792811," Petr Kulh , Brno , "
16792813," Dr. Hua Tang , "
16792820," Anne Friedrich , Luc Moulinier , "
16796745," Hsu , Weng , Dr. Yen-Jen Oyang , "
16796748, 
16796754," Dr. Dan Graur , "
16796757," Cyril Berthenet , Ned Lamb , "
16800897," Satoshi Miyazaki , "
16803615," Xuan Liu , "
16803617," Phillip Hagen , Roland Meyer , Kirstin Weihl , "
16808841," Thomas Simonson , Pierre Tuff , Laurent Chiche , Gracy , Gertraud Burger , "
16749918," Zhi Cheng Wang , Tim Yates , Stuart Pepper , Francesca Buffa , Claire Wilson , "
16749920," Andreas Heger , Yonatan Bilu , Alex Savenok , A.H. , "
16749925," Samudrala , "
16749929," Bruce Weir , Jeffrey Thorne , Drs Clarice Weinberg , Joseph Nevins , "
16749936," Armadeep Kaur , Paul Shannon , Cytoscape , Vesteinn Thorsson , Amy Schmid , Charlie E.M. Strauss , Ilya Shmulevich , Marc Facciotti , Nathan Price , Werner Stuetzle , Eric A1m , DoE , "
16753052," Juan Castrillo , Chris , Kevin Garwood , David Hancock , Andy Jones , "
16753055," Dennis Kostka , Deutsche Jose Carreras Leuk , Stiftung , J.T. , R.S. , "
16753058," Per Johnson , John Keele , Kelli Key , Clare Gill , Loren Skow , "
16753070, 
16756672," Ramasubbu Venkatesh , Glenn Bj , "
16756676," Dimitrov , Emswiler , Hood , Lasky , Mendoza , Whiting , Hood , Galitski , "
16756683," Dr. Alberto Riva , "
16759376," Keith Sephton , William Hay , "
16762054," Dr. Michael Thomas Flanagan , Joke Kestens , Dr. Anja Lambrechts , Sylvie Veniere , "
16762055," Gunnar , Arvid , Elisabeth Nilsson , "
16762065," Bisharah Libbus , "
16762073," Dr Bjarne Knudsen , Daniel Halligan , Daniel Gaffney , "
16764718, 
16529661," Manuel Nietert , Kristina Grabowski , Beilstein Institut , Wissenschaften , "
16529652," Magda Bartilson , Stephen DelCardayre , John Grate , Lori Giver , John Whitman , "
16533392," Cancerfonden , Gustafsson , Carl Tryggers , Magnus Bergvall , Marcus Borgstr , "
16533385, 
16533403," Stucki , Clemens Wagner , "
16533389," Dr. K. F. Aoki Kinoshita , Dr. C. Wheelock , "
16533401," Hans-Georg Rammensee , Stefan Stevanovic , Hansjoerg Schild , "
16533395, 
16533404, 
16533412," Jae Won Lee , "
16536867," Hangqing Xie , Maxwell Lee , Howard Yang , Bob Clifford , William Rowe , Richard Finney , Ying Hu , Theresa Zhang , Guochun Xie , "
16536879," Dr. Alice Lin-Tsing Yu , Dr. Kuo-I Lin , Dr. Chia-Ning Shen , Dr. Ying-Ta Wu , Dr. Cheng-Chung Liu , "
16539732," Dr. Ronald Pierik , Dr. Frank C.P. Holstege , Dr. Alex Boonman , Dr. Matthijs J. Coster , "
16539724," R. W. The , "
16539707," Anthony Leclerc , Chuming Chen , "
16539745," Dr. Nat Goodman , "
16539742," Thomas H , "
16542435, 
16542424," Eric Siggia , "
16542452," Andreas Buness , Markus Ruschhaupt , Tim Beissbarth , Coral delVal , Silke Argo , "
16542417," S. Sadasivan , "
16542421," R.S. , "
16542449," OBER , L.R. Grate , K. Franks , C.A. Myers , "
16542458," Weiwei Zhai , Grant , R.S. , "
16542461," Dave Henderson , "
16545116," Discovery Grant , Dr. Steven Hanes , Wadsworth Center , "
16545118," Dr. Jeffrey I. Gordon , Dr. Thaddeus Stappenbeck , "
16545112," Zhenming Hu , Kelly Boutilier , Ed Haldorsen , Jenn Huen , Brigitte Tuekam , "
16545123," Howard Grey , "
16545131," Robnet Kerns , Li Zhang , Richard Kennedy , Dr. Michael F. Miles , "
16509971," Walter , Patyaksha Wirapati , Gordon Smyth , Halfdan Grage , Bildt , Lund , Knut , Alice Wallenberg , "
16509965," Dr. David Rocke , Dr. Trevor Hastie , P. S. Gross , D. Knapp , "
16509966," David Kreil , Fran , Guillier , "
16723002," Han Brunner , Tom Heskes , "
16723003," Andre Elisseeff , Denyong Zhou , Jim Kent , Mark Diekhans , "
16723004," William Stafford Noble , Martin Tompa , Zasha Weinberg , Amol Prakash , "
16723005, 
16723006," Daphna Weinshall , Itamar Glatzer , "
16723007, 
16723008," Marian Carlson , Valmik Vyas , "
16723009," Asa , "
16723010, 
16723011, 
16723012," Alexander Zien , B. Sch , D. Weigel , M.K. Warmuth , "
16549006," Erik Sj , Staffan Alveteg , Daniel Nilsson , Fatima Farzana , "
16549007," Seiichiro Yamamoto , Takeharu Yamanaka , Richard Simon , "
16549008," Barbera van Schaik , Jan Ruijter , Jan Koster , "
16549013," Greta , John Kock , Alfred , "
16549014," Christopher J. Porter , Gareth Palidwor , "
16549017," G. , G. , "
16549020," Andrea Mclntosh-Suhr , "
16549025," Matt Cohoon , Sveta Gerdes , Andrei Osterman , Ross Overbeek , Rick Stevens , Olga Vassieva , Veronika Vonstein , Olga Zagnitko , Mya Breitbart , Ed DeLong , Stanley Maloy , Braudel Maqueira , Ross Overbeek , Anca Segall , Gordon , John Paul , Anca Segall , "
16549034," Dr. Fengfeng Zhou , Drs T.J. Gibson , F. Diella , X. Yao , X. Yao , "
16551354," Boehringer Ingelheim , "
