PMID ,PERSONS
PMID , 
18614583," Eva Balso-Canto , Julie Blumberg , Stefan Hengl , Clemens Kreutz , Stefan Legewie , David Liffmann , Christian Ludwig , Peter Nickel , Tatsunori Nishimura , Martin Peifer , Andreas Raue , Marcel Schilling , "
18718948," H.S. , "
18689808, 
18653522," Ian Brock , "
18635573, 
18678589, 
18625611," J.T. , "
18603566," Yuriy Mishchenko , Ting Zhao , Jonathan Wren , Margaret Jefferies , Badrinath Roysam , Julie Simpson , Phuong Chung , "
18586698, 
18591192, 
18614585, 
18603567," M.P. , J.K. , M.W. , J.A. , "
18628289, 
18625612," Peter Hung , Herbert Chase , Daniel Stein , "
19088121," Harm van Bakel , Jeff Liu , Gary Bader , Alan Davidson , "
18974168, 
19237444," Gentleman , Zhenyu Xu , Paul McGettigan , "
18703588," Colleen Fordyce , Dr Kurt Thorn , "
19246510, 
19237449," H. Saadi , M. Sansom , K. Scott , A. Chetwynd , S.K. , "
19237447," Van Cortenbosch , Ville , "
19237446," Frank Q.H. Ngo , Ching-Li Hsu , Tzu-Hui Wu , Kuen-Bor Chen , Chien-Hwa Chang , Kuang-Lee Li , Yu , Chung-Cheng Liu , Chong-Chou Lee , Lu , Charles Lee , Meijyh Kang , Yi-Lin Wu , Grant , "
19244388, 
19193730," Jens Nilsson , "
19213739," B. Sch , C.S. Ong , "
19193731, 
19218352, 
19233896, 
19254921," Peter Chen , Mike Cariaso , Jason Zhang , Dan Sommer , Mihai Pop , Art Delcher , Bill Klimke , "
19193729, 
18326507," Dr Angel W. Lee , "
19223449, 
19213741, 
19515959," Eric Cabot , Michael Cox , John Battista , "
19497932," Sam Kariuki , Rumina Hasan , Rajni Gaind , Shanta Dutta , "
19497935," Ming Tang , "
19505943," James Bonfield , "
19505941," Tony Watt , "
19497931, 
19460889, 
19505942," A. Tikhonov , J. Cho , R. Santamaria , "
19189979, 
19286833," Hugues Richard , "
19401402," Lothar Altschmied , Helmut , Udo Conrad , Gudrun , Alexander Schliep , Stefan Posch , "
19389732," Gabriele Schweikert , Sonnenburg , Alexander Zien , Max Planck , W.B. , "
19202194," Dean Jerry , Elizabeth Thompson , "
19505940, 
19497937, 
19470584," Anna Panchenko , John Spouge , "
19468053," Sandro Lambeck , "
19420051," J. Fadista , A. Ivens , D. Grove , "
19497936," Andrew Berry , Mandy Sanders , Danielle Walker , "
19505945," Juan M. Garcia-Gomez , Jordi Burguet-Castell , Pablo Escobar , Joaqu , Jos , Castresana , T.G. , "
19398448," M. Weber , D. Castillo , "
19417059," Juok Cho , Dan Bolser , Duangrudee Tanramluk , Richard Bickerton , Bernardo Ochoa , "
19398447," D.D. , "
19376822, 
19420054, 
19454618, 
19414535, 
19808877," Jonathan Pritchard , Molly Przeworski , Matthew Stephens , Paul Zumbo , Mark Domanus , "
19828575," Andrew Torda , "
19812110," Alain Laederach , Daniel Herschlag , Rhiju Das , Samuel Flores , Christopher Bruns , Marc Parisien , "
19825798, 
19846435, 
19846439," AIST , Masaru Watanabe , AIST , "
19808880," Steven Pollard , Anna Falk , "
19837718," Richard Lu , Frederic Breard , Rick Valenzano , Uzma Khan , "
19759198, 
19770262," Wynne Lok , Aditya Aggarwal , Jiantao Lu , Dr Robert Beiko , Haibin Liu , C.B. , "
19789269," Dr Nobuhiro , Dr Gavin Cawley , "
19786482," M.E. Patti , R. Kahn , "
19770263," S. Brohee , J. van Helden , M. Newman , E. Nabieva , J.S. , "
19797409, 
19773334, 
19789266," John Stone , "
19797407, 
19797408, 
19776214," E. Choron , M. Hermes , P. Bonnaure , L. Baumgaertel , C. Lepoivre , P. Rihet , C. Brun , B. Jacq , "
19073590, 
19074506," Ewen Lescop , Fran , Bontems , Olivier Serve , Guillaume Loire , "
19091771," Andrew Su , Tim Wiltshire , "
19098030, 
19129207, 
19129208," Giovanna Felis , "
19091773," Bruno Jedynak , Christopher Wiggins , "
19073593, 
19106121," Ben Bolstad , Mark Dunning , Crispin Miller , Gregoire Pau , Deepayan Sarkar , A.K. , R.G. , "
19010806, 
19028720, 
19038986," R. Sowdhamini , Sandhya Sankaran , G.P. , "
19015140," Martin Engler , H. Luftmann , Organisch-Chemisches Institut , Alexander , "
19029128, 
19042916," Sylvain Lambermont , Dr Leheup , Amine , Dave Ritchie , Amis , Lorraine , Lorraine , "
19015141," Kevin Bleakley , Jean-Philippe Vert , "
19043077, 
19038988," Midori Harris , Alvis Brazma , "
19008252," Henrik Bengtsson , James Bullard , Kasper Daniel Hansen , "
18826957, 
19033274," Jane Lomax , Hinxton , Chris Mungall , Benjamin Hitz , Rama Balakrishnan , Mary Dolan , Jackson Laboratory , Bar Harbor , Valerie Wood , Hinxton , Eurie Hong , Pascale Gaudet , "
19033273," Puntervoll , Manfred Koegl , Evangelos Pafilis , Niall Haslam , "
19010802," Trey Ideker , Silpa Suthram , Jodi R. Parrish , Stephen Guest , Gerardus Tromp , "
18990721," Maria Fookes , Tim Perkins , "
18990723, 
18984599, 
19015129, 
19010804, 
19008251, 
19015138, 
18974170," Anthony Fejes , "
